ID,CLIENT_ID,ACCOUNT_ID,PRODUCT_ID,CHANNEL_ID,SECTOR_ID,AMOUNT,CURRENCY,DATE_TIME,TRANSACTION_TYPE
T00001,CL0061,AC02,P11,CH05,BK02,-886218.33,USD,2023-01-01T00:51:39,Transfer
T00002,CL0082,AC07,P10,CH06,BK01,69497.03,USD,2023-01-01T01:34:12,Commission Charge
T00003,CL0037,AC07,P06,CH02,BK02,62277.43,USD,2023-01-01T03:00:52,Commission Charge
T00004,CL0154,AC03,P07,CH06,BK07,674544.74,USD,2023-01-01T03:16:37,Withdrawal
T00005,CL0081,AC08,P05,CH03,BK01,-297774.07,USD,2023-01-01T03:17:58,Card Payment
T00006,CL0019,AC05,P07,CH06,BK02,186129.06,USD,2023-01-01T03:51:50,Mobile Transfer
T00007,CL0028,AC03,P11,CH06,BK05,687780.04,USD,2023-01-01T04:32:41,Commission Charge
T00008,CL0129,AC06,P10,CH05,BK06,-980647.77,USD,2023-01-01T04:33:48,Card Payment
T00009,CL0026,AC05,P03,CH04,BK03,216189.07,USD,2023-01-01T05:47:27,Withdrawal
T00010,CL0200,AC03,P11,CH05,BK03,502946.33,USD,2023-01-01T06:21:49,Commission Charge
T00011,CL0154,AC02,P05,CH03,BK05,-969549.17,USD,2023-01-01T09:24:41,ATM Withdrawal
T00012,CL0015,AC01,P04,CH01,BK07,3330135.56,USD,2023-01-01T09:44:28,Card Payment
T00013,CL0115,AC02,P09,CH05,BK03,-781178.34,USD,2023-01-01T09:44:59,Deposit
T00014,CL0133,AC08,P04,CH02,BK03,-301739.07,USD,2023-01-01T10:05:43,Transfer
T00015,CL0096,AC01,P10,CH02,BK02,2191581.19,USD,2023-01-01T10:07:08,Loan Payment
T00016,CL0161,AC06,P10,CH05,BK02,-1457237.98,USD,2023-01-01T10:22:25,Deposit
T00017,CL0042,AC03,P10,CH01,BK04,476744.63,USD,2023-01-01T10:27:25,Mobile Transfer
T00018,CL0151,AC05,P02,CH01,BK06,194668.35,USD,2023-01-01T11:02:13,Deposit
T00019,CL0113,AC01,P02,CH06,BK03,2458847.61,USD,2023-01-01T12:09:15,Commission Charge
T00020,CL0089,AC02,P06,CH01,BK05,-749289.85,USD,2023-01-01T12:15:00,Mobile Transfer
T00021,CL0222,AC03,P06,CH03,BK06,477474.67,USD,2023-01-01T12:21:16,ATM Withdrawal
T00022,CL0183,AC08,P01,CH03,BK07,-378014.24,USD,2023-01-01T13:02:32,ATM Withdrawal
T00023,CL0200,AC05,P11,CH01,BK02,208192.29,USD,2023-01-01T13:20:36,Loan Payment
T00024,CL0245,AC06,P08,CH02,BK07,-1102354.63,USD,2023-01-01T14:31:48,Transfer
T00025,CL0107,AC02,P03,CH02,BK04,-959993.96,USD,2023-01-01T17:23:56,Withdrawal
T00026,CL0169,AC04,P11,CH05,BK05,544540.76,USD,2023-01-01T21:37:00,Card Payment
T00027,CL0171,AC02,P02,CH01,BK07,-880967.58,USD,2023-01-01T22:01:42,Mobile Transfer
T00028,CL0231,AC03,P09,CH01,BK03,575939.38,USD,2023-01-01T22:23:52,Commission Charge
T00029,CL0083,AC08,P09,CH06,BK02,-255300.8,USD,2023-01-01T22:55:22,Commission Charge
T00030,CL0091,AC08,P02,CH01,BK06,-353831.1,USD,2023-01-02T00:30:53,Mobile Transfer
T00031,CL0123,AC08,P08,CH03,BK02,-330611.29,USD,2023-01-02T00:52:07,Deposit
T00032,CL0238,AC05,P09,CH01,BK02,232039.95,USD,2023-01-02T01:32:45,Interest Payment
T00033,CL0101,AC06,P06,CH03,BK02,-1339887.27,USD,2023-01-02T02:21:05,Mobile Transfer
T00034,CL0004,AC05,P09,CH06,BK01,223814.55,USD,2023-01-02T04:00:29,Mobile Transfer
T00035,CL0142,AC03,P09,CH04,BK05,585856.29,USD,2023-01-02T04:22:35,Card Payment
